"통계분류","시점",사업체수,종사자수,매출액,사업체당평균매출액,1인당 평균매출액
"인터넷/모바일 전자출판서비스업","2013",43,401,137480,3197,343
"인터넷/모바일 전자출판서비스업","2014",40,446,154862,3872,347
"인터넷/모바일 전자출판서비스업","2015",43,481,181582,4223,378
"인터넷/모바일 전자출판서비스업","2016",44,524,215236,4892,411
"인터넷/모바일 전자출판서비스업","2017",48,551,238846,4976,433
"인터넷/모바일 전자출판서비스업","2018",56,581,259677,4637,447
"인터넷/모바일 전자출판서비스업","2019",57,619,294733,5171,476
"인터넷/모바일 전자출판서비스업","2020",61,656,372287,6103,567
"인터넷/모바일 전자출판서비스업","2021",59,916,476564,8077,520
"인터넷/모바일 전자출판서비스업","2022",68,1056,641779,9438,608
